employee_id,department,trip_purpose,trip_start_date,trip_end_date,origin,destination,travel_mode,provider_name,service_class,flight_legs,distance_traveled,invoice_amount_usd
EMP00024,Sales,Training,2/6/2025,2/7/2025,Tampa,San Francisco,Air,United,Economy,1,187.03,196.76
EMP00025,Operations,Conference,5/23/2025,5/31/2025,Atlanta,San Francisco,Rail,Amtrak,Standard,0,2056.91,205.69
EMP00026,Finance,Conference,5/5/2025,5/13/2025,Tampa,Tampa,Bus,Intercity Bus,Standard,0,1378.97,110.32
EMP00027,Finance,Internal Meeting,7/1/2025,7/8/2025,Atlanta,Tampa,Bus,Intercity Bus,Standard,0,89.13,7.13
EMP00028,Engineering,Conference,2/1/2025,2/8/2025,New York,San Francisco,Air,American Airlines,Economy,2,2829.5,1007.38
EMP00029,Engineering,Training,3/13/2025,3/20/2025,Dallas,New York,Bus,Intercity Bus,Standard,0,2434.77,194.78
EMP00030,Operations,Client Meeting,8/15/2025,8/24/2025,Tampa,New York,Air,Delta,Economy,1,948.61,387.15
EMP00031,Engineering,Internal Meeting,7/28/2025,8/5/2025,Tampa,New York,Rail,Amtrak,Business,0,731.14,73.11
EMP00032,HR,Internal Meeting,1/2/2025,1/9/2025,Chicago,Dallas,Bus,Intercity Bus,Standard,0,761.03,60.88
EMP00033,HR,Conference,3/21/2025,3/25/2025,Tampa,San Francisco,Bus,Intercity Bus,Standard,0,2065.63,165.25
EMP00034,Finance,Conference,6/10/2025,6/11/2025,Tampa,San Francisco,Air,Delta,First,2,1849.49,762.37
EMP00035,Engineering,Internal Meeting,4/6/2025,4/8/2025,Tampa,San Francisco,Air,Delta,First,2,151.45,337.86
EMP00036,Operations,Client Meeting,10/24/2025,11/3/2025,Dallas,Atlanta,Rail,Amtrak,Standard,0,1203.63,120.36
EMP00037,HR,Conference,5/14/2025,5/18/2025,Chicago,Dallas,Road,Enterprise,Standard,0,587.6,293.8
EMP00038,HR,Client Meeting,12/10/2025,12/15/2025,Tampa,Dallas,Rail,Amtrak,Business,0,2278.32,227.83
EMP00039,HR,Conference,2/7/2025,2/16/2025,Chicago,Tampa,Air,United,First,2,1304.21,626.05
EMP00040,Finance,Training,7/9/2025,7/14/2025,San Francisco,Atlanta,Rail,Amtrak,Standard,0,1662.8,166.28
EMP00041,Sales,Conference,12/8/2025,12/17/2025,Chicago,Tampa,Air,American Airlines,First,1,595.32,298.83
EMP00042,Operations,Conference,10/11/2025,10/14/2025,Atlanta,Chicago,Air,American Airlines,Business,2,2534.74,933.68
EMP00043,HR,Client Meeting,12/18/2025,12/23/2025,Tampa,Atlanta,Rail,Amtrak,Business,0,2821.52,282.15
EMP00044,Sales,Training,5/22/2025,5/23/2025,New York,Atlanta,Bus,Intercity Bus,Standard,0,2689.74,215.18
EMP00045,Finance,Client Meeting,3/24/2025,4/1/2025,Tampa,Tampa,Road,Enterprise,Standard,0,1813.8,906.9
EMP00046,Operations,Conference,10/7/2025,10/8/2025,Dallas,New York,Rail,Amtrak,Business,0,2769.53,276.95
EMP00047,Engineering,Conference,6/7/2025,6/13/2025,Atlanta,Tampa,Air,Delta,Business,1,311.05,227.76
EMP00048,Engineering,Conference,10/14/2025,10/21/2025,New York,New York,Road,Enterprise,Standard,0,1586.46,793.23
EMP00049,HR,Internal Meeting,1/13/2025,1/16/2025,Atlanta,Atlanta,Bus,Intercity Bus,Standard,0,2885.46,230.84
EMP00050,Finance,Client Meeting,5/17/2025,5/20/2025,Dallas,New York,Rail,Amtrak,Standard,0,2541.37,254.14
EMP00051,Engineering,Conference,8/24/2025,8/30/2025,Tampa,Atlanta,Rail,Amtrak,Business,0,2254.59,225.46
EMP00052,Sales,Training,7/24/2025,7/30/2025,Chicago,Atlanta,Rail,Amtrak,Business,0,1642.09,164.21
EMP00053,HR,Client Meeting,12/14/2025,12/23/2025,Tampa,Chicago,Bus,Intercity Bus,Standard,0,1780.92,142.47
EMP00054,Sales,Internal Meeting,10/25/2025,10/30/2025,Chicago,Atlanta,Rail,Amtrak,Standard,0,2897.5,289.75
EMP00055,Sales,Internal Meeting,8/12/2025,8/22/2025,San Francisco,New York,Road,Enterprise,Standard,0,1840.75,920.38
EMP00056,Operations,Conference,1/23/2025,1/30/2025,Chicago,Dallas,Road,Uber,Standard,0,864.2,432.1
EMP00057,Sales,Training,12/7/2025,12/13/2025,San Francisco,Chicago,Air,American Airlines,First,1,924.01,381
EMP00058,HR,Conference,6/17/2025,6/24/2025,New York,Dallas,Bus,Intercity Bus,Standard,0,269.92,21.59
EMP00059,Operations,Training,12/13/2025,12/16/2025,Dallas,San Francisco,Bus,Intercity Bus,Standard,0,2961.32,236.91
EMP00060,Operations,Training,6/5/2025,6/10/2025,Dallas,Dallas,Air,United,Business,2,2328.12,882.03
EMP00061,Operations,Internal Meeting,12/12/2025,12/16/2025,Atlanta,New York,Bus,Intercity Bus,Standard,0,915.79,73.26
EMP00062,Engineering,Training,5/26/2025,6/4/2025,New York,New York,Air,American Airlines,Economy,1,91.54,172.88
EMP00063,Finance,Client Meeting,1/13/2025,1/14/2025,Dallas,Dallas,Rail,Amtrak,Standard,0,2135.23,213.52
EMP00064,Finance,Conference,12/23/2025,12/30/2025,New York,Atlanta,Rail,Amtrak,Business,0,2200.57,220.06
EMP00065,Operations,Internal Meeting,2/24/2025,3/3/2025,Tampa,San Francisco,Air,United,Economy,1,2325.25,731.31
EMP00066,Finance,Training,3/4/2025,3/12/2025,Dallas,San Francisco,Rail,Amtrak,Standard,0,2782.59,278.26
EMP00067,Engineering,Internal Meeting,10/8/2025,10/16/2025,Dallas,Chicago,Bus,Intercity Bus,Standard,0,1970.68,157.65
EMP00068,Engineering,Training,11/23/2025,11/28/2025,Dallas,Tampa,Rail,Amtrak,Business,0,2749.13,274.91
EMP00069,HR,Client Meeting,5/1/2025,5/6/2025,New York,New York,Road,Lyft,Standard,0,2557.61,1278.81
EMP00070,Sales,Internal Meeting,7/16/2025,7/19/2025,Dallas,Chicago,Rail,Amtrak,Standard,0,1375.88,137.59
EMP00071,Engineering,Internal Meeting,8/1/2025,8/2/2025,Dallas,San Francisco,Bus,Intercity Bus,Standard,0,331.46,26.52
EMP00072,HR,Training,10/22/2025,10/29/2025,Dallas,Dallas,Air,Southwest,Economy,2,1143.91,585.98
EMP00073,Finance,Internal Meeting,9/7/2025,9/11/2025,Tampa,Dallas,Rail,Amtrak,Business,0,1009.29,100.93
EMP00074,Engineering,Internal Meeting,12/9/2025,12/16/2025,New York,San Francisco,Road,Enterprise,Standard,0,2202.34,1101.17
EMP00075,Finance,Conference,7/21/2025,7/31/2025,Dallas,New York,Air,Delta,Economy,1,1930.79,632.7
EMP00076,Finance,Training,5/14/2025,5/21/2025,Chicago,Dallas,Air,American Airlines,Economy,1,1705.67,576.42
EMP00077,Finance,Client Meeting,8/4/2025,8/9/2025,Atlanta,San Francisco,Road,Uber,Standard,0,402.8,201.4
EMP00078,Sales,Client Meeting,6/29/2025,7/3/2025,New York,New York,Air,Delta,First,1,2154.07,688.52
EMP00079,Finance,Client Meeting,11/15/2025,11/18/2025,San Francisco,New York,Air,United,Economy,1,2179.1,694.77
EMP00080,HR,Conference,12/25/2025,12/30/2025,San Francisco,San Francisco,Bus,Intercity Bus,Standard,0,2324.35,185.95
EMP00081,Sales,Training,3/25/2025,3/30/2025,San Francisco,Atlanta,Air,Delta,First,1,1506.7,526.67
EMP00082,Sales,Conference,7/23/2025,7/27/2025,Tampa,Atlanta,Bus,Intercity Bus,Standard,0,2146.46,171.72
EMP00083,Operations,Client Meeting,12/17/2025,12/27/2025,Chicago,San Francisco,Road,Uber,Standard,0,377.13,188.56
EMP00084,Sales,Training,12/5/2025,12/11/2025,Tampa,Dallas,Bus,Intercity Bus,Standard,0,1346.04,107.68
EMP00085,HR,Internal Meeting,2/24/2025,3/3/2025,Atlanta,New York,Bus,Intercity Bus,Standard,0,645.07,51.61
EMP00086,HR,Internal Meeting,4/1/2025,4/10/2025,Dallas,Dallas,Bus,Intercity Bus,Standard,0,2692.5,215.4
EMP00087,HR,Internal Meeting,6/15/2025,6/19/2025,New York,Dallas,Road,Uber,Standard,0,1452.34,726.17
EMP00088,Finance,Training,6/22/2025,6/23/2025,New York,Dallas,Bus,Intercity Bus,Standard,0,1711.66,136.93
EMP00089,HR,Training,7/1/2025,7/6/2025,San Francisco,Tampa,Rail,Amtrak,Business,0,2101.77,210.18
EMP00090,Finance,Conference,2/13/2025,2/17/2025,Atlanta,Dallas,Rail,Amtrak,Business,0,461.03,46.1
EMP00091,Sales,Training,8/18/2025,8/19/2025,New York,Dallas,Bus,Intercity Bus,Standard,0,1833.03,146.64
EMP00092,Finance,Training,6/6/2025,6/16/2025,Dallas,Atlanta,Rail,Amtrak,Business,0,1642.53,164.25
EMP00093,HR,Training,6/30/2025,7/8/2025,New York,Tampa,Road,Lyft,Standard,0,649.03,324.51
EMP00094,Engineering,Conference,6/11/2025,6/13/2025,Atlanta,Dallas,Rail,Amtrak,Standard,0,2831.42,283.14
EMP00095,HR,Client Meeting,10/29/2025,11/7/2025,New York,Chicago,Road,Enterprise,Standard,0,1816.65,908.33
EMP00096,Sales,Conference,7/4/2025,7/7/2025,Chicago,Tampa,Rail,Amtrak,Business,0,2099.62,209.96
EMP00097,Finance,Client Meeting,10/11/2025,10/16/2025,Tampa,San Francisco,Air,United,First,2,2647.38,961.85
EMP00098,HR,Conference,8/29/2025,9/6/2025,Tampa,Chicago,Road,Lyft,Standard,0,2433.96,1216.98
EMP00099,Finance,Internal Meeting,2/28/2025,3/2/2025,Tampa,San Francisco,Bus,Intercity Bus,Standard,0,1918.54,153.48
EMP00100,Engineering,Client Meeting,3/19/2025,3/22/2025,San Francisco,Dallas,Air,American Airlines,Economy,2,2620.81,955.2
EMP00101,Finance,Training,9/25/2025,10/2/2025,San Francisco,Dallas,Rail,Amtrak,Business,0,694.4,69.44
EMP00102,Operations,Client Meeting,10/19/2025,10/29/2025,New York,Atlanta,Road,Uber,Standard,0,1278.7,639.35
EMP00103,Engineering,Conference,5/16/2025,5/18/2025,San Francisco,Tampa,Rail,Amtrak,Standard,0,2655.68,265.57
EMP00104,Operations,Internal Meeting,1/2/2025,1/9/2025,Chicago,Tampa,Rail,Amtrak,Business,0,1006.82,100.68
EMP00105,Sales,Conference,5/28/2025,6/2/2025,Chicago,Atlanta,Rail,Amtrak,Business,0,410.16,41.02
EMP00106,Engineering,Training,8/6/2025,8/8/2025,New York,Tampa,Rail,Amtrak,Standard,0,1101.08,110.11
EMP00107,Sales,Internal Meeting,3/26/2025,3/31/2025,Atlanta,Chicago,Air,American Airlines,Business,1,2725.14,831.28
EMP00108,Operations,Internal Meeting,5/20/2025,5/29/2025,Dallas,Tampa,Bus,Intercity Bus,Standard,0,722.41,57.79
EMP00109,Sales,Conference,8/10/2025,8/16/2025,Atlanta,San Francisco,Air,American Airlines,Economy,2,1309.97,627.49
EMP00110,Finance,Internal Meeting,12/11/2025,12/16/2025,Chicago,New York,Air,Delta,Economy,1,1090.08,422.52
EMP00111,Sales,Internal Meeting,11/22/2025,11/30/2025,Chicago,Dallas,Bus,Intercity Bus,Standard,0,70.51,5.64
EMP00112,HR,Internal Meeting,6/14/2025,6/16/2025,Atlanta,Dallas,Road,Uber,Standard,0,1556.7,778.35
EMP00113,Sales,Internal Meeting,12/6/2025,12/13/2025,Tampa,Chicago,Road,Enterprise,Standard,0,1281.36,640.68
EMP00114,Operations,Client Meeting,6/15/2025,6/17/2025,Atlanta,San Francisco,Road,Lyft,Standard,0,705.22,352.61
EMP00115,Engineering,Training,7/31/2025,8/1/2025,San Francisco,Dallas,Bus,Intercity Bus,Standard,0,403.6,32.29
EMP00116,HR,Conference,1/27/2025,1/31/2025,Chicago,Dallas,Bus,Intercity Bus,Standard,0,1045.96,83.68
EMP00117,Operations,Conference,3/4/2025,3/5/2025,Atlanta,New York,Bus,Intercity Bus,Standard,0,2831.58,226.53
EMP00118,Finance,Client Meeting,10/10/2025,10/11/2025,New York,Tampa,Road,Enterprise,Standard,0,1003.45,501.73
EMP00119,Finance,Training,3/2/2025,3/5/2025,San Francisco,Atlanta,Bus,Intercity Bus,Standard,0,1580.43,126.43
EMP00120,Engineering,Internal Meeting,8/1/2025,8/9/2025,San Francisco,New York,Road,Lyft,Standard,0,2123.91,1061.95
EMP00121,Operations,Conference,4/8/2025,4/18/2025,Tampa,Chicago,Bus,Intercity Bus,Standard,0,1122.71,89.82
EMP00122,HR,Client Meeting,6/24/2025,7/3/2025,Chicago,Atlanta,Bus,Intercity Bus,Standard,0,2916.76,233.34
EMP00123,Finance,Conference,10/28/2025,11/7/2025,Dallas,San Francisco,Road,Enterprise,Standard,0,2889.22,1444.61
EMP00124,Operations,Internal Meeting,6/26/2025,7/2/2025,Dallas,Chicago,Bus,Intercity Bus,Standard,0,792.76,63.42
EMP00125,Engineering,Internal Meeting,12/24/2025,12/28/2025,Tampa,Chicago,Rail,Amtrak,Business,0,1516.88,151.69
EMP00126,Finance,Conference,12/28/2025,1/4/2026,Dallas,Tampa,Bus,Intercity Bus,Standard,0,937.59,75.01
EMP00127,Sales,Internal Meeting,9/15/2025,9/25/2025,Tampa,San Francisco,Rail,Amtrak,Business,0,890.28,89.03
EMP00128,Finance,Conference,1/8/2025,1/11/2025,Tampa,Dallas,Bus,Intercity Bus,Standard,0,158.82,12.71
EMP00129,Finance,Client Meeting,6/23/2025,7/3/2025,Chicago,Atlanta,Road,Enterprise,Standard,0,1848.21,924.11
EMP00130,Operations,Client Meeting,6/12/2025,6/20/2025,San Francisco,Tampa,Bus,Intercity Bus,Standard,0,1532.9,122.63
EMP00131,Sales,Internal Meeting,11/20/2025,11/25/2025,Tampa,Atlanta,Rail,Amtrak,Standard,0,201.86,20.19
EMP00132,Sales,Training,8/16/2025,8/19/2025,Tampa,Chicago,Air,American Airlines,Economy,1,872.01,368
EMP00133,Engineering,Internal Meeting,7/11/2025,7/18/2025,San Francisco,Atlanta,Road,Uber,Standard,0,1921.34,960.67
EMP00134,Operations,Internal Meeting,3/29/2025,4/1/2025,San Francisco,Atlanta,Rail,Amtrak,Standard,0,2058.08,205.81
EMP00135,Engineering,Internal Meeting,9/12/2025,9/22/2025,Atlanta,Chicago,Rail,Amtrak,Standard,0,1616.26,161.63
EMP00136,Finance,Training,5/11/2025,5/12/2025,Atlanta,San Francisco,Bus,Intercity Bus,Standard,0,1370.96,109.68
EMP00137,Operations,Training,2/7/2025,2/15/2025,Atlanta,Dallas,Rail,Amtrak,Business,0,1681.03,168.1
EMP00138,Finance,Internal Meeting,8/22/2025,8/27/2025,Tampa,New York,Road,Uber,Standard,0,1798.46,899.23
EMP00139,Operations,Training,10/20/2025,10/26/2025,Atlanta,Chicago,Bus,Intercity Bus,Standard,0,288.52,23.08
EMP00140,Operations,Client Meeting,12/4/2025,12/11/2025,San Francisco,Atlanta,Air,American Airlines,Economy,1,1140.48,435.12
EMP00141,Operations,Training,5/27/2025,5/31/2025,New York,Atlanta,Bus,Intercity Bus,Standard,0,2198.24,175.86
EMP00142,Sales,Client Meeting,11/14/2025,11/19/2025,Chicago,Dallas,Rail,Amtrak,Standard,0,1134.96,113.5
EMP00143,HR,Training,10/24/2025,10/30/2025,Atlanta,Dallas,Air,United,Economy,2,1915.3,778.83
EMP00144,Operations,Training,4/13/2025,4/16/2025,New York,Chicago,Rail,Amtrak,Business,0,1226.53,122.65
EMP00145,Sales,Internal Meeting,6/1/2025,6/7/2025,Tampa,New York,Bus,Intercity Bus,Standard,0,2458.47,196.68
EMP00146,Sales,Internal Meeting,12/13/2025,12/20/2025,Tampa,Chicago,Rail,Amtrak,Business,0,2405.12,240.51
EMP00147,Finance,Training,8/21/2025,8/27/2025,Tampa,Atlanta,Air,American Airlines,First,1,494.62,273.65
EMP00148,Operations,Conference,8/30/2025,8/31/2025,Atlanta,Tampa,Rail,Amtrak,Business,0,600.23,60.02
EMP00149,Finance,Client Meeting,12/25/2025,12/30/2025,New York,Tampa,Bus,Intercity Bus,Standard,0,170.29,13.62
EMP00150,Engineering,Conference,6/5/2025,6/13/2025,Dallas,Dallas,Air,Delta,Economy,1,1793.13,598.28
EMP00151,Operations,Conference,12/10/2025,12/19/2025,Dallas,Atlanta,Road,Lyft,Standard,0,699.71,349.86
EMP00152,Sales,Training,9/8/2025,9/18/2025,New York,Dallas,Air,Southwest,Business,1,2147.89,686.97
EMP00153,Sales,Training,5/1/2025,5/7/2025,San Francisco,Atlanta,Bus,Intercity Bus,Standard,0,718.16,57.45
EMP00154,Engineering,Client Meeting,2/1/2025,2/8/2025,Dallas,Tampa,Road,Lyft,Standard,0,1953.26,976.63
EMP00155,Sales,Training,11/25/2025,12/5/2025,New York,New York,Rail,Amtrak,Standard,0,564.38,56.44
EMP00156,Operations,Conference,2/5/2025,2/14/2025,New York,Chicago,Rail,Amtrak,Standard,0,2088.27,208.83
EMP00157,Engineering,Conference,11/2/2025,11/3/2025,San Francisco,Chicago,Rail,Amtrak,Business,0,1190.87,119.09
EMP00158,Sales,Training,2/26/2025,2/27/2025,New York,San Francisco,Rail,Amtrak,Standard,0,2813.35,281.33
EMP00159,Sales,Conference,1/9/2025,1/12/2025,Atlanta,Dallas,Road,Lyft,Standard,0,455.69,227.84
EMP00160,Operations,Client Meeting,2/2/2025,2/10/2025,Dallas,San Francisco,Air,Southwest,Business,1,1056.15,414.04
EMP00161,Finance,Client Meeting,11/11/2025,11/12/2025,Tampa,Dallas,Rail,Amtrak,Business,0,666.76,66.68
EMP00162,Finance,Internal Meeting,8/7/2025,8/9/2025,Tampa,Tampa,Bus,Intercity Bus,Standard,0,1647.27,131.78
EMP00163,Engineering,Training,11/8/2025,11/11/2025,San Francisco,Atlanta,Road,Uber,Standard,0,2102.56,1051.28
EMP00164,HR,Internal Meeting,7/15/2025,7/25/2025,San Francisco,San Francisco,Road,Enterprise,Standard,0,724.22,362.11
EMP00165,Operations,Conference,2/20/2025,2/22/2025,Dallas,Dallas,Bus,Intercity Bus,Standard,0,566.12,45.29
EMP00166,Finance,Internal Meeting,7/31/2025,8/6/2025,Atlanta,Tampa,Rail,Amtrak,Business,0,2947.4,294.74
EMP00167,HR,Training,8/7/2025,8/13/2025,New York,Atlanta,Road,Enterprise,Standard,0,1574.08,787.04
EMP00168,Sales,Client Meeting,2/4/2025,2/6/2025,Dallas,Tampa,Bus,Intercity Bus,Standard,0,819.45,65.56
EMP00169,Operations,Training,3/8/2025,3/17/2025,Atlanta,Tampa,Road,Uber,Standard,0,2988.95,1494.47
EMP00170,Sales,Training,7/1/2025,7/8/2025,San Francisco,Chicago,Bus,Intercity Bus,Standard,0,2897.99,231.84
EMP00171,Engineering,Conference,2/23/2025,3/5/2025,Atlanta,Dallas,Road,Enterprise,Standard,0,1696.97,848.49
EMP00172,Sales,Training,2/25/2025,3/3/2025,San Francisco,New York,Rail,Amtrak,Business,0,2653.78,265.38
EMP00173,Operations,Client Meeting,10/15/2025,10/25/2025,San Francisco,Atlanta,Bus,Intercity Bus,Standard,0,606.69,48.54
EMP00174,HR,Training,1/15/2025,1/18/2025,Chicago,Tampa,Road,Lyft,Standard,0,872.67,436.33
EMP00175,Sales,Conference,3/15/2025,3/25/2025,Atlanta,Atlanta,Rail,Amtrak,Business,0,2116.06,211.61
EMP00176,Finance,Internal Meeting,2/16/2025,2/25/2025,Chicago,New York,Air,United,Business,2,2547.65,936.91
EMP00177,Operations,Client Meeting,6/9/2025,6/15/2025,Tampa,New York,Road,Enterprise,Standard,0,2666.9,1333.45
EMP00178,HR,Internal Meeting,11/13/2025,11/14/2025,Atlanta,Dallas,Rail,Amtrak,Standard,0,2350.63,235.06
EMP00179,Finance,Training,11/7/2025,11/15/2025,New York,San Francisco,Bus,Intercity Bus,Standard,0,1943.99,155.52
EMP00180,Operations,Internal Meeting,6/26/2025,7/3/2025,San Francisco,Atlanta,Air,Delta,Business,2,298.21,374.55
EMP00181,Operations,Client Meeting,1/24/2025,1/28/2025,Tampa,New York,Road,Lyft,Standard,0,2366.75,1183.38
EMP00182,HR,Training,4/19/2025,4/22/2025,Tampa,Tampa,Road,Lyft,Standard,0,2023.52,1011.76
EMP00183,Engineering,Internal Meeting,8/9/2025,8/12/2025,San Francisco,Atlanta,Bus,Intercity Bus,Standard,0,1763.03,141.04
EMP00184,Sales,Internal Meeting,9/14/2025,9/23/2025,Atlanta,Tampa,Rail,Amtrak,Business,0,1148.23,114.82
EMP00185,Sales,Training,1/10/2025,1/18/2025,San Francisco,Dallas,Bus,Intercity Bus,Standard,0,2823.39,225.87
EMP00186,HR,Client Meeting,12/30/2025,1/6/2026,Dallas,Tampa,Bus,Intercity Bus,Standard,0,2922.31,233.78
EMP00187,HR,Client Meeting,3/29/2025,4/8/2025,Dallas,Tampa,Road,Lyft,Standard,0,887.57,443.79
EMP00188,Operations,Client Meeting,8/12/2025,8/22/2025,Dallas,Chicago,Rail,Amtrak,Business,0,950.82,95.08
EMP00189,Sales,Client Meeting,4/24/2025,4/30/2025,San Francisco,San Francisco,Road,Uber,Standard,0,1482.56,741.28
EMP00190,Engineering,Client Meeting,6/28/2025,7/4/2025,New York,Chicago,Rail,Amtrak,Standard,0,1372.85,137.28
EMP00191,Sales,Conference,3/30/2025,4/9/2025,Atlanta,Dallas,Rail,Amtrak,Standard,0,2983.65,298.37
EMP00192,Finance,Training,10/16/2025,10/26/2025,Atlanta,Chicago,Bus,Intercity Bus,Standard,0,568.98,45.52
EMP00193,Finance,Training,8/14/2025,8/16/2025,Chicago,San Francisco,Rail,Amtrak,Business,0,103.32,10.33
EMP00194,Finance,Internal Meeting,6/30/2025,7/9/2025,Tampa,Tampa,Air,Delta,Business,2,1506.99,676.75
EMP00195,Sales,Internal Meeting,5/27/2025,5/29/2025,Dallas,San Francisco,Road,Enterprise,Standard,0,2252.15,1126.08
EMP00196,Operations,Internal Meeting,8/19/2025,8/29/2025,San Francisco,New York,Air,United,Business,1,1966.42,641.61
EMP00197,Sales,Conference,8/19/2025,8/21/2025,Tampa,New York,Air,American Airlines,First,2,2176.77,844.19
EMP00198,Operations,Conference,8/13/2025,8/22/2025,Chicago,Chicago,Bus,Intercity Bus,Standard,0,1726.51,138.12
EMP00199,Operations,Client Meeting,7/18/2025,7/25/2025,Atlanta,Atlanta,Road,Lyft,Standard,0,326.34,163.17
EMP00200,Operations,Internal Meeting,2/3/2025,2/9/2025,Chicago,Chicago,Road,Uber,Standard,0,1134.76,567.38
EMP00201,HR,Training,6/20/2025,6/22/2025,Atlanta,Atlanta,Rail,Amtrak,Standard,0,832.35,83.24
EMP00202,Sales,Training,3/8/2025,3/18/2025,San Francisco,Dallas,Bus,Intercity Bus,Standard,0,769.77,61.58
EMP00203,Finance,Training,3/7/2025,3/16/2025,Tampa,Chicago,Road,Uber,Standard,0,2920.38,1460.19
EMP00204,Finance,Conference,4/3/2025,4/7/2025,New York,New York,Road,Lyft,Standard,0,1209.64,604.82
EMP00205,Operations,Client Meeting,2/9/2025,2/14/2025,Atlanta,Chicago,Rail,Amtrak,Standard,0,2681.54,268.15
EMP00206,Engineering,Conference,11/2/2025,11/9/2025,Atlanta,San Francisco,Rail,Amtrak,Standard,0,1911.86,191.19
EMP00207,HR,Conference,8/13/2025,8/14/2025,Dallas,San Francisco,Rail,Amtrak,Business,0,2394.69,239.47
EMP00208,Engineering,Training,8/18/2025,8/22/2025,Dallas,New York,Road,Enterprise,Standard,0,1532.78,766.39
EMP00209,Finance,Training,12/14/2025,12/24/2025,Dallas,San Francisco,Road,Lyft,Standard,0,1751.87,875.93
EMP00210,Operations,Conference,3/24/2025,3/28/2025,Chicago,Tampa,Bus,Intercity Bus,Standard,0,1502.93,120.23
EMP00211,Sales,Client Meeting,7/10/2025,7/19/2025,Chicago,Tampa,Bus,Intercity Bus,Standard,0,625.97,50.08
EMP00212,Finance,Client Meeting,5/20/2025,5/28/2025,New York,Dallas,Rail,Amtrak,Standard,0,2181.23,218.12
EMP00213,Finance,Training,1/14/2025,1/21/2025,New York,Dallas,Road,Uber,Standard,0,878.28,439.14
EMP00214,Sales,Training,7/11/2025,7/15/2025,New York,New York,Air,Delta,Business,1,121.73,180.43
EMP00215,Finance,Internal Meeting,5/27/2025,6/4/2025,San Francisco,Tampa,Air,United,First,2,178.63,344.66
EMP00216,Operations,Internal Meeting,1/10/2025,1/15/2025,Tampa,Chicago,Air,United,Economy,1,2824.35,856.09
EMP00217,Engineering,Internal Meeting,6/4/2025,6/6/2025,Atlanta,San Francisco,Rail,Amtrak,Standard,0,874.7,87.47
