trip_id,supplier_location,destination_facility,carrier_name,carrier_type,mode_of_transport,delivery_datetime,idle_time_minutes,fuel_consumed_gallons,fuel_type,electricity_kwh,shipment_weight_lb,shipment_volume_ctf,pallets_packages,distance_traveled,invoice_amount_usd
TRIP00041,Chicago,Dallas,Maersk,,Sea,8/28/2025,42.08,597.79,Heavy Fuel Oil,0,19311.85,56.27,27,2988.95,2150.71
TRIP00042,Los Angeles,Tampa,FedEx,,Air,7/26/2025,160.8,87.27,Jet Fuel,0,14037.12,84.82,20,872.67,917.08
TRIP00043,Los Angeles,Dallas,UPS,,Air,4/9/2025,143.51,235.06,Jet Fuel,0,12876.43,9.33,8,2350.63,1512.84
TRIP00044,Atlanta,New York,UPS,,Sea,8/5/2025,122.8,404.7,Heavy Fuel Oil,0,11655.66,37.86,25,2023.52,1494.87
TRIP00045,Atlanta,Dallas,UPS,,Sea,2/8/2025,86.23,12.99,Heavy Fuel Oil,0,3300.08,55.32,22,64.93,318.47
TRIP00046,Chicago,New York,FedEx,,Air,11/30/2025,65.32,298.37,Jet Fuel,0,3600.91,2.79,14,2983.65,1703.84
TRIP00047,New York,Tampa,UPS,,Air,3/27/2025,62.37,225.22,Jet Fuel,0,13027.69,85.07,17,2252.15,1556.63
TRIP00048,Chicago,Chicago,UPS,,Sea,7/25/2025,51.48,330.1,Heavy Fuel Oil,0,10225.4,64,22,1650.49,1249.75
TRIP00049,Tampa,Atlanta,FedEx,,Sea,7/19/2025,83.85,584.08,Heavy Fuel Oil,0,7922.64,89.31,27,2920.38,1888.64
TRIP00050,Dallas,Chicago,Maersk,,Rail,12/23/2025,43.19,32.48,Diesel,0,12937.56,67.22,1,1082.73,810.12
TRIP00051,Los Angeles,New York,UPS,,Sea,4/8/2025,17.41,436.25,Heavy Fuel Oil,0,5687.37,3.41,17,2181.23,1374.36
TRIP00052,Dallas,Atlanta,XPO Logistics,,Air,10/5/2025,72.93,298.39,Jet Fuel,0,9451.9,28.68,6,2983.92,1741
TRIP00053,Tampa,Los Angeles,FedEx,,Rail,1/26/2025,107.29,2.87,Diesel,0,18573.54,43.39,21,95.6,629.27
TRIP00054,New York,Chicago,FedEx,LTL,Road,4/6/2025,55.64,0,Electric,4412.97,1599.39,31.26,23,2941.98,1732.98
TRIP00055,Tampa,Los Angeles,Maersk,LTL,Road,10/19/2025,128.33,246.93,CNG,0,7516.47,40.07,22,1481.58,1111.12
TRIP00056,Tampa,New York,Maersk,,Air,12/3/2025,70.97,173.17,Jet Fuel,0,2033.81,61.89,22,1731.68,1126.52
TRIP00057,New York,New York,DHL,,Rail,4/15/2025,128.49,23.99,Diesel,0,5976.28,32.93,8,799.78,599.42
TRIP00058,Los Angeles,Los Angeles,UPS,,Rail,5/16/2025,81.36,63.67,Diesel,0,7253.87,30.07,23,2122.33,1436.24
TRIP00059,Chicago,Atlanta,Maersk,,Rail,6/11/2025,95.26,24.17,Diesel,0,12269.12,9.08,7,805.81,718.29
TRIP00060,Tampa,Tampa,XPO Logistics,,Sea,10/16/2025,18.63,480.99,Heavy Fuel Oil,0,13034.28,70.49,16,2404.97,1623.17
TRIP00061,Tampa,Tampa,XPO Logistics,FTL,Road,3/9/2025,124.24,444.25,Diesel,0,649.57,58.31,23,2665.52,1575.75
TRIP00062,Atlanta,Dallas,UPS,,Rail,8/13/2025,110.44,30.54,Diesel,0,3185.33,98.2,22,1018.05,792.73
TRIP00063,New York,Los Angeles,XPO Logistics,,Rail,12/1/2025,101.3,4.2,Diesel,0,843.23,82.44,22,139.98,306.85
TRIP00064,New York,Tampa,FedEx,,Rail,3/10/2025,115.89,30.41,Diesel,0,16574.59,27.88,12,1013.62,958.3
TRIP00065,Dallas,Tampa,XPO Logistics,,Air,3/21/2025,128.92,30.18,Jet Fuel,0,1128.47,53.6,15,301.78,323.46
TRIP00066,Dallas,Dallas,DHL,LTL,Road,12/18/2025,64.9,76.36,Gasoline,0,2741.63,96.98,10,458.14,383.9
TRIP00067,New York,Chicago,FedEx,,Rail,2/17/2025,52.65,71.87,Diesel,0,5489.56,44.46,23,2395.8,1537.69
TRIP00068,Los Angeles,Chicago,FedEx,,Rail,1/2/2025,79.52,17.81,Diesel,0,1709.37,43.4,12,593.78,451.08
TRIP00069,Dallas,Atlanta,UPS,,Rail,8/15/2025,131.48,16.84,Diesel,0,3213.1,25.77,22,561.22,564.87
TRIP00070,New York,Los Angeles,XPO Logistics,,Sea,1/5/2025,121.71,399.52,Heavy Fuel Oil,0,5670.68,95.53,7,1997.58,1182.2
TRIP00071,Tampa,Tampa,XPO Logistics,LTL,Road,7/9/2025,70.52,222.54,Diesel,0,14627.78,5.72,26,1335.24,1220.18
TRIP00072,Chicago,Atlanta,DHL,,Air,7/6/2025,26.01,228.57,Jet Fuel,0,386.43,12.49,5,2285.65,1200.55
TRIP00073,Tampa,Dallas,UPS,LTL,Road,7/1/2025,26.63,161.44,Gasoline,0,19592.26,18.36,16,968.67,1036.18
TRIP00074,New York,Los Angeles,UPS,LTL,Road,4/1/2025,77.75,250.04,Diesel,0,9522.09,18.15,5,1500.27,990.58
TRIP00075,Atlanta,Los Angeles,Maersk,,Rail,12/9/2025,116.4,56,Diesel,0,12738.36,5.49,10,1866.76,1288.15
TRIP00076,Los Angeles,Atlanta,UPS,,Rail,12/26/2025,114.69,46.03,Diesel,0,17144.15,66.21,4,1534.25,1150.01
TRIP00077,Tampa,Chicago,Maersk,,Air,4/24/2025,146.16,283.45,Jet Fuel,0,18890.61,86.85,27,2834.48,2065.05
TRIP00078,Atlanta,Chicago,DHL,,Rail,4/27/2025,102.75,61.43,Diesel,0,11510,13.72,29,2047.65,1544.03
TRIP00079,Atlanta,Tampa,Maersk,FTL,Road,5/23/2025,45.14,471.22,Gasoline,0,7783.44,96.16,10,2827.32,1669.33
TRIP00080,Dallas,Los Angeles,XPO Logistics,,Sea,6/19/2025,26.06,171.64,Heavy Fuel Oil,0,4370.32,38.35,29,858.19,806.5
TRIP00081,Tampa,Tampa,UPS,,Rail,10/25/2025,125.87,61.95,Diesel,0,1516.65,32.58,26,2064.87,1322.77
TRIP00082,Dallas,Tampa,XPO Logistics,,Air,8/11/2025,128.45,105.48,Jet Fuel,0,5287.82,50.11,26,1054.84,893.18
TRIP00083,Dallas,Los Angeles,Maersk,,Rail,11/7/2025,174.49,57.16,Diesel,0,17561.69,73.77,21,1905.38,1513.92
TRIP00084,New York,Tampa,XPO Logistics,,Sea,4/8/2025,178.39,333.3,Heavy Fuel Oil,0,8527.07,57.28,3,1666.52,1033.8
TRIP00085,Dallas,Tampa,FedEx,,Sea,9/24/2025,157.41,253.44,Heavy Fuel Oil,0,7503.16,77.86,24,1267.22,1023.67
TRIP00086,New York,Los Angeles,DHL,FTL,Road,2/5/2025,138.27,284.58,Gasoline,0,4848.08,68.3,23,1707.51,1180.72
TRIP00087,New York,Dallas,DHL,,Air,9/17/2025,76.24,35.42,Jet Fuel,0,18060.8,51.02,16,354.22,698.33
TRIP00088,Dallas,Los Angeles,DHL,,Sea,7/26/2025,163.91,185.6,Heavy Fuel Oil,0,2089.7,6.3,29,928.02,795.8
TRIP00089,Los Angeles,Dallas,UPS,FTL,Road,12/7/2025,107.48,53.22,CNG,0,6454.34,95.06,20,319.3,488.74
TRIP00090,Los Angeles,Atlanta,Maersk,,Rail,10/8/2025,104.13,57.42,Diesel,0,9024.07,30.03,25,1913.92,1387.44
TRIP00091,Tampa,Dallas,UPS,,Rail,8/9/2025,25.51,20.33,Diesel,0,18929.27,78.35,7,677.55,787.36
TRIP00092,New York,New York,Maersk,,Rail,8/15/2025,135.3,45.26,Diesel,0,1245.42,55.4,5,1508.54,829.18
TRIP00093,Chicago,Los Angeles,XPO Logistics,FTL,Road,3/28/2025,139.46,276.74,Gasoline,0,14146.05,96.9,9,1660.45,1203.15
TRIP00094,New York,Los Angeles,FedEx,,Rail,5/1/2025,47.84,56.21,Diesel,0,2112.34,9.33,13,1873.74,1109.12
TRIP00095,Los Angeles,Dallas,UPS,LTL,Road,1/13/2025,24.42,0,Electric,1830.18,17848.75,15.51,29,1220.12,1257.03
TRIP00096,Chicago,New York,Maersk,,Air,8/1/2025,50.24,296.06,Jet Fuel,0,7547.99,37.69,20,2960.59,1831.25
TRIP00097,Los Angeles,New York,Maersk,FTL,Road,7/24/2025,24.2,454.62,CNG,0,11878.59,35.67,28,2727.7,1881.42
TRIP00098,Los Angeles,Tampa,Maersk,,Air,4/23/2025,66.14,234.26,Jet Fuel,0,11212.24,43,26,2342.58,1655.53
TRIP00099,Atlanta,Los Angeles,FedEx,,Sea,10/13/2025,135.97,266.33,Heavy Fuel Oil,0,5148.28,41.12,26,1331.63,1028.78
TRIP00100,Atlanta,Tampa,UPS,,Sea,8/26/2025,109.17,462.64,Heavy Fuel Oil,0,16473.53,74.68,3,2313.22,1516.08
TRIP00101,Los Angeles,New York,Maersk,,Rail,11/10/2025,99.82,86.65,Diesel,0,7559.92,29.29,24,2888.41,1835.4
TRIP00102,Los Angeles,New York,XPO Logistics,,Sea,8/17/2025,17.34,267.44,Heavy Fuel Oil,0,16061.97,97.81,13,1337.19,1119.83
TRIP00103,Atlanta,Los Angeles,Maersk,,Sea,5/13/2025,53.01,535.77,Heavy Fuel Oil,0,10601.25,99.3,5,2678.87,1601.46
TRIP00104,Atlanta,Los Angeles,XPO Logistics,,Rail,9/6/2025,128.28,63.04,Diesel,0,1601.15,17.46,17,2101.46,1252.75
TRIP00105,Los Angeles,Atlanta,Maersk,,Rail,2/9/2025,135.31,41.73,Diesel,0,12588.41,58.85,16,1390.9,1107.22
TRIP00106,Los Angeles,Dallas,DHL,FTL,Road,6/13/2025,87.46,458.33,Diesel,0,19178.18,6.73,6,2750,1818.56
TRIP00107,Atlanta,Atlanta,Maersk,LTL,Road,12/28/2025,76.01,313.23,Gasoline,0,5619.89,19.62,26,1879.39,1312.09
TRIP00108,Chicago,Dallas,Maersk,,Sea,2/1/2025,177.66,145.34,Heavy Fuel Oil,0,5392.16,36.67,4,726.71,511.2
TRIP00109,Atlanta,Chicago,XPO Logistics,,Sea,12/23/2025,112.47,421.92,Heavy Fuel Oil,0,10768.32,31.64,20,2109.58,1470.16
TRIP00110,Tampa,New York,Maersk,,Sea,1/4/2025,171.47,169.87,Heavy Fuel Oil,0,2750.38,8.54,6,849.33,539.67
TRIP00111,Dallas,Dallas,Maersk,,Sea,10/3/2025,159.03,438.17,Heavy Fuel Oil,0,12306.96,42.41,24,2190.87,1581.57
TRIP00112,Los Angeles,Los Angeles,Maersk,LTL,Road,5/20/2025,147.79,279.53,Diesel,0,3380.2,41.71,22,1677.18,1126.19
TRIP00113,Chicago,Dallas,UPS,,Sea,8/28/2025,174.89,592.49,Heavy Fuel Oil,0,3093.3,59.82,25,2962.46,1793.1
TRIP00114,Atlanta,New York,Maersk,,Air,10/31/2025,32.75,253.43,Jet Fuel,0,16782.74,47.4,3,2534.25,1632.78
TRIP00115,New York,Los Angeles,FedEx,,Air,11/26/2025,179.95,9.03,Jet Fuel,0,1599.65,69.48,5,90.33,127.16
TRIP00116,Chicago,Atlanta,UPS,,Sea,1/26/2025,138.7,598.02,Heavy Fuel Oil,0,11153.09,77.13,5,2990.08,1768.1
TRIP00117,Dallas,Chicago,UPS,,Rail,8/21/2025,172.19,34.94,Diesel,0,4897.59,21.3,1,1164.66,690.28
TRIP00118,Dallas,Dallas,DHL,,Sea,8/4/2025,70.89,367.64,Heavy Fuel Oil,0,4649.99,67.5,2,1838.22,1032.11
TRIP00119,Dallas,Tampa,FedEx,,Sea,10/4/2025,151.33,77,Heavy Fuel Oil,0,13464.31,52.51,22,384.99,681.78
TRIP00120,Tampa,Dallas,FedEx,LTL,Road,1/16/2025,78.59,159.66,Diesel,0,16346.08,96.83,27,957.94,1075.89
TRIP00121,Tampa,New York,UPS,LTL,Road,8/31/2025,118.69,74.22,CNG,0,672.78,75.76,21,445.34,446.13
TRIP00122,Atlanta,Chicago,DHL,,Rail,3/27/2025,69.6,72.75,Diesel,0,18072.71,62.11,2,2424.88,1593.89
TRIP00123,New York,New York,UPS,,Air,6/9/2025,69.2,179.03,Jet Fuel,0,7905.66,44.31,2,1790.26,1073.24
TRIP00124,Tampa,New York,DHL,,Air,10/22/2025,99.01,156.63,Jet Fuel,0,15694.69,40.26,23,1566.27,1327.03
TRIP00125,Los Angeles,Chicago,UPS,,Sea,2/8/2025,93.66,421.61,Heavy Fuel Oil,0,15949.79,46.48,17,2108.04,1543.02
TRIP00126,New York,Los Angeles,FedEx,FTL,Road,12/17/2025,69.06,135.3,Diesel,0,9236.8,98.02,21,811.82,800.65
TRIP00127,New York,Tampa,XPO Logistics,,Rail,8/8/2025,31.91,20.01,Diesel,0,11635.03,34.81,15,666.94,716.17
TRIP00128,Los Angeles,Dallas,XPO Logistics,,Air,11/28/2025,40.61,42.77,Jet Fuel,0,3122.86,14.74,8,427.74,356.33
TRIP00129,Dallas,Tampa,Maersk,,Sea,2/24/2025,123.48,420.94,Heavy Fuel Oil,0,8292.06,87.56,27,2104.68,1488.18
TRIP00130,Chicago,Dallas,UPS,,Sea,8/11/2025,68.66,111.67,Heavy Fuel Oil,0,3926.55,5.05,5,558.34,407.7
TRIP00131,Atlanta,Los Angeles,XPO Logistics,,Rail,10/3/2025,88.33,32.26,Diesel,0,732.91,55.32,5,1075.48,602.4
TRIP00132,Chicago,Chicago,XPO Logistics,,Sea,5/18/2025,64.67,131.74,Heavy Fuel Oil,0,7348.97,50.84,13,658.68,606.32
TRIP00133,Dallas,Atlanta,DHL,,Air,8/19/2025,158.51,32.23,Jet Fuel,0,9674.79,69.09,24,322.26,594.63
TRIP00134,Atlanta,Chicago,DHL,,Sea,1/15/2025,24.37,553.31,Heavy Fuel Oil,0,1315.45,28.41,1,2766.57,1419.59
TRIP00135,Chicago,Dallas,Maersk,LTL,Road,7/1/2025,92.37,302,Gasoline,0,19726.51,54.12,24,1811.97,1540.52
TRIP00136,Dallas,New York,XPO Logistics,,Rail,1/6/2025,20.6,56.22,Diesel,0,7441.38,46.79,13,1873.85,1215.75
TRIP00137,New York,Atlanta,UPS,,Air,7/28/2025,96.99,48.58,Jet Fuel,0,2749.03,69.03,23,485.83,527.9
TRIP00138,Chicago,New York,Maersk,FTL,Road,8/18/2025,77.52,269.95,Diesel,0,2232.72,45.29,3,1619.73,884.52
TRIP00139,Dallas,Atlanta,UPS,,Sea,6/6/2025,64.75,71.87,Heavy Fuel Oil,0,14774.36,19.05,7,359.36,545.17
TRIP00140,Los Angeles,New York,Maersk,,Rail,10/11/2025,68.3,20.21,Diesel,0,6617.2,12.86,17,673.77,639.23
TRIP00141,New York,Dallas,XPO Logistics,,Sea,6/19/2025,24.78,289.64,Heavy Fuel Oil,0,7166.58,65.23,18,1448.21,1047.44
TRIP00142,Dallas,Los Angeles,DHL,,Sea,6/6/2025,105.96,326.89,Heavy Fuel Oil,0,11778.14,74.8,17,1634.46,1222.79
TRIP00143,Dallas,Atlanta,UPS,,Air,6/11/2025,51.54,116.74,Jet Fuel,0,6815.19,90.07,2,1167.38,739.99
TRIP00144,Tampa,Los Angeles,UPS,LTL,Road,9/5/2025,27.3,253.3,CNG,0,6673.93,93.44,21,1519.83,1103.39
TRIP00145,New York,New York,FedEx,,Rail,4/10/2025,24.94,15.03,Diesel,0,4994.56,16.91,11,500.93,460.36
TRIP00146,Dallas,Atlanta,UPS,,Rail,6/4/2025,99.17,72.82,Diesel,0,1207.5,84.39,3,2427.3,1267.8
TRIP00147,Tampa,Los Angeles,DHL,LTL,Road,1/28/2025,107.92,210.11,CNG,0,19649.33,12.09,2,1260.67,1043.32
TRIP00148,Atlanta,Los Angeles,FedEx,,Sea,1/7/2025,132.89,551.26,Heavy Fuel Oil,0,205.47,97.53,24,2756.32,1622.27
TRIP00149,New York,Dallas,Maersk,,Sea,8/14/2025,57.6,494.31,Heavy Fuel Oil,0,14397.3,53.97,26,2471.54,1783.72
TRIP00150,Dallas,Atlanta,DHL,,Air,9/2/2025,43.92,232,Jet Fuel,0,3822.17,33.04,19,2320,1426.44
TRIP00151,Tampa,Tampa,Maersk,,Sea,2/7/2025,59.07,444.39,Heavy Fuel Oil,0,10643.82,71.02,14,2221.93,1463.84
TRIP00152,New York,Los Angeles,UPS,,Air,3/18/2025,110.96,176.47,Jet Fuel,0,3171.82,48.63,11,1764.65,1055.76
TRIP00153,New York,Dallas,UPS,,Air,3/2/2025,178.29,113.92,Jet Fuel,0,9139.93,55.31,10,1139.23,852.41
TRIP00154,New York,Chicago,XPO Logistics,FTL,Road,8/19/2025,10.46,166.82,Gasoline,0,16216.5,26.21,5,1000.94,874.8
TRIP00155,New York,Chicago,XPO Logistics,,Rail,11/14/2025,69.31,11.83,Diesel,0,9516.01,61,3,394.25,417.45
TRIP00156,Tampa,New York,UPS,,Air,11/17/2025,168.6,279.21,Jet Fuel,0,16629.33,96.54,14,2792.11,1868.64
TRIP00157,Atlanta,Dallas,UPS,,Air,5/3/2025,135.99,297.32,Jet Fuel,0,4179.54,38.54,1,2973.24,1580.21
TRIP00158,Atlanta,New York,UPS,,Air,1/2/2025,137.59,174.47,Jet Fuel,0,16852.39,14.84,9,1744.7,1299.4
TRIP00159,Chicago,Chicago,DHL,,Sea,1/17/2025,123.08,481.73,Heavy Fuel Oil,0,16520.14,19.45,19,2408.63,1724.72
TRIP00160,Atlanta,Dallas,Maersk,,Rail,2/6/2025,126.11,47.79,Diesel,0,7240.73,87.84,25,1593.04,1191.33
TRIP00161,Los Angeles,Atlanta,XPO Logistics,,Rail,12/5/2025,61.23,41.5,Diesel,0,14304.27,90.07,29,1383.25,1267.71
TRIP00162,Atlanta,Chicago,XPO Logistics,,Air,4/26/2025,76.55,225.54,Jet Fuel,0,10104.14,23.99,1,2255.45,1339.81
TRIP00163,Los Angeles,Atlanta,UPS,,Rail,2/6/2025,29.87,48.57,Diesel,0,1425.72,23.67,7,1618.98,908
TRIP00164,Tampa,Atlanta,XPO Logistics,,Rail,10/19/2025,144.98,84.67,Diesel,0,12591.39,34.16,20,2822.5,1863.08
TRIP00165,Dallas,Chicago,Maersk,,Air,12/19/2025,179.61,187.92,Jet Fuel,0,10715.88,89.5,4,1879.21,1193.92
TRIP00166,Dallas,Los Angeles,DHL,,Sea,9/14/2025,15.7,453.92,Heavy Fuel Oil,0,14168.91,78.08,1,2269.59,1428.17
TRIP00167,New York,Chicago,FedEx,,Sea,11/3/2025,27.5,346.23,Heavy Fuel Oil,0,15272.93,87.8,1,1731.17,1181.04
TRIP00168,Tampa,Chicago,XPO Logistics,,Rail,5/9/2025,77.54,48.98,Diesel,0,7638.55,46.24,20,1632.62,1169.08
TRIP00169,Tampa,Tampa,XPO Logistics,LTL,Road,12/11/2025,141.22,400.34,CNG,0,3083.36,23.7,12,2402.02,1382.68
TRIP00170,Tampa,Atlanta,XPO Logistics,,Sea,11/30/2025,52.81,17.2,Heavy Fuel Oil,0,12009.01,56.99,26,86,543.18
TRIP00171,Chicago,Dallas,XPO Logistics,FTL,Road,11/22/2025,48.65,178.3,Diesel,0,3713.79,90.94,6,1069.8,669.18
TRIP00172,Chicago,Dallas,DHL,,Sea,6/14/2025,109.66,259.92,Heavy Fuel Oil,0,5829.8,61.88,26,1299.61,1026.4
TRIP00173,Los Angeles,Tampa,DHL,FTL,Road,12/22/2025,110.8,257.06,CNG,0,12267.94,2.79,28,1542.37,1296.54
TRIP00174,Chicago,New York,Maersk,,Air,2/15/2025,130.23,35.15,Jet Fuel,0,18383.14,79.22,5,351.53,593.43
TRIP00175,Dallas,Dallas,FedEx,,Rail,7/26/2025,23.14,15,Diesel,0,11568.14,61.06,22,499.99,701.36
TRIP00176,New York,Tampa,Maersk,,Sea,1/28/2025,29.25,71.51,Heavy Fuel Oil,0,16824.75,91.16,1,357.53,525.26
TRIP00177,Atlanta,New York,XPO Logistics,,Rail,9/13/2025,66.46,88.66,Diesel,0,16794.07,13.34,25,2955.28,2063.52
TRIP00178,Los Angeles,Chicago,UPS,,Air,5/17/2025,19.31,96.88,Jet Fuel,0,4625.17,61.18,15,968.76,726.88
TRIP00179,New York,Atlanta,Maersk,,Rail,12/24/2025,29.43,31.16,Diesel,0,16076.78,1.46,9,1038.83,930.95
TRIP00180,Chicago,Tampa,XPO Logistics,,Air,5/3/2025,68.98,127.28,Jet Fuel,0,17284.01,92.37,7,1272.79,1052.08
TRIP00181,Los Angeles,Atlanta,XPO Logistics,,Rail,1/8/2025,165.17,66.77,Diesel,0,9099.14,23.24,12,2225.63,1414.8
TRIP00182,New York,Chicago,UPS,,Air,2/28/2025,165.52,78.23,Jet Fuel,0,11594.88,17.39,21,782.27,833.03
TRIP00183,Chicago,Tampa,Maersk,FTL,Road,9/18/2025,46.16,186.51,Gasoline,0,11653.71,63.59,28,1119.06,1072.6
TRIP00184,Chicago,Chicago,Maersk,LTL,Road,7/16/2025,80.49,0,Electric,2354.64,19513.27,46.44,20,1569.76,1375.15
TRIP00185,New York,New York,FedEx,FTL,Road,8/1/2025,62.69,50.3,CNG,0,19937.8,50.72,1,301.78,559.65
TRIP00186,Dallas,Tampa,DHL,,Rail,10/28/2025,116.25,36.66,Diesel,0,8593.1,80.18,29,1222.09,1072.91
TRIP00187,New York,Los Angeles,UPS,,Sea,8/17/2025,141.84,232.86,Heavy Fuel Oil,0,16747.64,59.16,1,1164.29,927.1
TRIP00188,New York,Chicago,DHL,,Rail,10/10/2025,94.49,41.62,Diesel,0,10535.37,44.64,18,1387.2,1084.31
TRIP00189,New York,Chicago,DHL,,Sea,4/7/2025,170.84,461.56,Heavy Fuel Oil,0,2149.33,34.1,23,2307.8,1426.89
