shipment_id,carrier_name,carrier_type,mode_of_transport,origin,destination,delivery_datetime,distance_traveled,idle_time,shipment_weight_lb,shipment_volume_cuft,fuel_consumed_gallons,electricity_kwh,invoice_amount_usd
SHP000026,UPS,0,Ocean,Dallas,Boston,2025-08-31 13:12:00,7306.75,7.48,16710.13,378.02,1461.35,0.0,302.75
SHP000027,UPS,FTL,Road,Atlanta,Dallas,2025-01-28 21:41:00,313.12,0.69,11945.18,81.45,52.19,0.0,144.5
SHP000028,Old Dominion,FTL,Road,Atlanta,Boston,2025-05-08 06:12:00,1119.15,4.9,25519.45,435.86,186.53,0.0,344.73
SHP000029,UPS,0,Rail,Miami,New York,2025-05-23 14:15:00,1485.88,2.31,35756.08,270.13,44.58,0.0,360.34
SHP000030,FedEx,0,Ocean,New York,Tampa,2025-11-30 17:53:00,6555.8,21.71,13061.14,55.92,1311.16,0.0,261.98
SHP000031,FedEx,LTL,Road,Chicago,San Francisco,2025-04-20 12:57:00,312.13,2.71,8207.45,430.5,52.02,0.0,119.53
SHP000032,Old Dominion,0,Rail,Miami,Tampa,2025-07-19 08:59:00,211.12,4.58,16987.73,111.83,6.33,0.0,146.46
SHP000033,Old Dominion,0,Air,Miami,Atlanta,2025-10-12 21:45:00,623.64,1.68,37744.93,162.28,62.36,0.0,910.81
SHP000034,FedEx,0,Rail,Dallas,Chicago,2025-04-22 01:37:00,1030.06,5.92,14863.37,485.92,30.9,0.0,170.41
SHP000035,DHL,0,Air,Tampa,New York,2025-10-27 15:32:00,2898.61,1.38,20141.32,151.14,289.86,0.0,1127.48
SHP000036,UPS,LTL,Road,Chicago,Tampa,2025-12-12 07:25:00,377.57,0.46,6154.21,251.84,62.93,0.0,106.85
SHP000037,Schneider,0,Rail,Tampa,Atlanta,2025-02-11 13:42:00,282.37,2.95,36376.5,120.54,8.47,0.0,305.13
SHP000038,C.H. Robinson,0,Air,Dallas,Miami,2025-06-10 07:16:00,691.22,2.21,39433.19,121.79,69.12,0.0,961.47
SHP000039,Old Dominion,0,Rail,San Francisco,Dallas,2025-06-11 02:00:00,1275.42,6.33,9886.68,364.38,38.26,0.0,142.86
SHP000040,XPO Logistics,LTL,Road,Dallas,Atlanta,2025-06-28 02:56:00,472.95,3.89,6390.27,268.35,78.83,0.0,120.66
SHP000041,J.B. Hunt,0,Air,San Francisco,New York,2025-08-13 17:45:00,543.78,3.42,13170.81,94.07,54.38,0.0,399.36
SHP000042,DHL,FTL,Road,New York,Chicago,2025-02-24 23:35:00,96.89,3.65,27263.79,9.28,16.15,0.0,280.39
SHP000043,XPO Logistics,0,Air,San Francisco,Atlanta,2025-04-18 22:21:00,1682.65,1.29,25984.33,88.01,168.27,0.0,940.35
SHP000044,C.H. Robinson,0,Air,Boston,Chicago,2025-01-27 02:40:00,2165.53,1.85,37500.83,69.62,216.55,0.0,1291.4
SHP000045,J.B. Hunt,0,Air,Tampa,New York,2025-06-20 04:40:00,1220.88,0.9,37025.4,438.79,122.09,0.0,1045.73
SHP000046,FedEx,0,Rail,Boston,San Francisco,2025-12-28 13:35:00,612.71,5.62,32780.28,278.05,18.38,0.0,292.88
SHP000047,DHL,LTL,Road,Chicago,Atlanta,2025-07-09 18:35:00,659.1,1.64,1067.06,448.71,0.0,988.65,89.76
SHP000048,FedEx,0,Ocean,Chicago,Tampa,2025-06-07 11:57:00,7253.14,15.93,13891.68,175.26,1450.63,0.0,287.05
SHP000049,Schneider,0,Air,Dallas,Miami,2025-05-08 21:06:00,2260.08,3.64,35539.91,390.16,226.01,0.0,1275.82
SHP000050,C.H. Robinson,0,Ocean,Chicago,New York,2025-03-25 05:56:00,5315.24,3.85,6884.33,449.38,1063.05,0.0,193.88
SHP000051,XPO Logistics,LTL,Road,Atlanta,Boston,2025-12-09 23:51:00,747.39,0.3,1149.49,332.09,124.56,0.0,101.18
SHP000052,FedEx,0,Air,Chicago,Boston,2025-12-26 03:24:00,313.67,1.06,22174.98,346.26,31.37,0.0,521.92
SHP000053,XPO Logistics,0,Ocean,Dallas,New York,2025-08-24 11:19:00,5389.71,6.93,28631.08,119.39,1077.94,0.0,304.85
SHP000054,J.B. Hunt,0,Rail,Tampa,Miami,2025-04-09 12:21:00,720.64,6.23,26160.5,424.76,21.62,0.0,245.32
SHP000055,FedEx,FTL,Road,Atlanta,Miami,2025-12-14 17:21:00,806.25,3.52,4200.15,184.49,134.38,0.0,106.5
SHP000056,C.H. Robinson,FTL,Road,Chicago,Atlanta,2025-05-16 01:06:00,354.98,1.65,38933.92,197.16,59.16,0.0,417.74
SHP000057,C.H. Robinson,0,Air,Atlanta,Dallas,2025-11-07 16:07:00,2708.53,2.71,31895.05,251.82,270.85,0.0,1315.03
SHP000058,XPO Logistics,0,Rail,San Francisco,Tampa,2025-12-29 13:00:00,1123.05,4.45,8212.1,361.5,33.69,0.0,121.85
SHP000059,Schneider,0,Air,Miami,Tampa,2025-12-07 10:39:00,1058.09,0.59,25996.16,89.38,105.81,0.0,784.45
SHP000060,DHL,FTL,Road,San Francisco,Miami,2025-07-26 22:18:00,1131.53,5.74,36637.14,185.71,188.59,0.0,456.89
SHP000061,DHL,0,Rail,Miami,Atlanta,2025-07-14 21:47:00,224.73,7.5,17413.27,483.36,6.74,0.0,150.54
SHP000062,XPO Logistics,0,Air,Miami,San Francisco,2025-01-01 09:18:00,2901.77,3.49,12130.73,193.16,290.18,0.0,968.06
SHP000063,XPO Logistics,0,Ocean,Atlanta,Dallas,2025-08-15 14:43:00,6883.53,8.97,7194.96,278.84,1376.71,0.0,242.48
SHP000064,Schneider,0,Ocean,Chicago,Miami,2025-02-13 09:32:00,7521.16,17.31,23017.42,49.49,1504.23,0.0,340.72
SHP000065,XPO Logistics,LTL,Road,San Francisco,New York,2025-03-17 00:02:00,757.26,5.94,1529.83,259.65,126.21,0.0,106.17
SHP000066,XPO Logistics,0,Ocean,New York,San Francisco,2025-08-01 20:36:00,7080.3,18.3,28032.12,351.54,1416.06,0.0,352.57
SHP000067,FedEx,0,Ocean,Boston,Dallas,2025-05-05 04:41:00,3196.18,8.46,32469.77,405.25,639.24,0.0,258.23
SHP000068,FedEx,FTL,Road,Dallas,New York,2025-12-23 16:29:00,1047.13,5.5,20698.02,251.26,174.52,0.0,290.75
SHP000069,Schneider,0,Rail,New York,San Francisco,2025-03-10 14:42:00,1477.27,5.55,28227.69,398.1,44.32,0.0,299.69
SHP000070,DHL,0,Ocean,Miami,Boston,2025-10-08 14:57:00,7175.04,9.44,15335.53,47.9,1435.01,0.0,291.93
SHP000071,Old Dominion,0,Ocean,Boston,Chicago,2025-05-07 20:17:00,4837.1,2.79,18891.12,271.78,967.42,0.0,239.57
SHP000072,XPO Logistics,0,Rail,San Francisco,Dallas,2025-02-09 22:18:00,658.47,5.14,1704.76,19.64,19.75,0.0,46.56
SHP000073,DHL,0,Air,Atlanta,Chicago,2025-10-04 02:08:00,2521.02,1.76,5518.89,261.6,252.1,0.0,740.63
SHP000074,UPS,0,Rail,Miami,Atlanta,2025-03-20 22:13:00,1431.99,2.51,25104.17,43.59,42.96,0.0,272.43
SHP000075,FedEx,0,Ocean,Miami,Chicago,2025-10-05 14:26:00,887.61,13.69,21855.09,319.08,177.52,0.0,135.9
SHP000076,C.H. Robinson,0,Rail,Miami,Dallas,2025-10-27 22:01:00,1361.75,7.83,20893.86,162.16,40.85,0.0,235.24
SHP000077,C.H. Robinson,0,Ocean,Tampa,Dallas,2025-06-02 12:54:00,6463.9,7.96,17839.37,40.15,1292.78,0.0,283.11
SHP000078,FedEx,0,Rail,Boston,New York,2025-05-20 13:31:00,240.56,7.74,33521.21,348.29,7.22,0.0,280.2
SHP000079,DHL,0,Ocean,Atlanta,Miami,2025-12-14 12:46:00,3567.15,5.81,6679.26,125.87,713.43,0.0,140.41
SHP000080,C.H. Robinson,0,Ocean,Chicago,Atlanta,2025-10-01 00:58:00,4619.2,17.72,26577.8,140.69,923.84,0.0,271.47
SHP000081,C.H. Robinson,LTL,Road,Miami,New York,2025-04-04 01:16:00,1148.1,4.49,5610.39,306.25,191.35,0.0,193.88
SHP000082,C.H. Robinson,0,Air,Dallas,San Francisco,2025-06-17 10:48:00,1432.92,1.37,14560.92,379.17,143.29,0.0,649.45
SHP000083,FedEx,0,Air,Miami,Chicago,2025-02-11 15:01:00,338.86,0.91,2317.1,21.32,33.89,0.0,131.06
SHP000084,FedEx,0,Air,Dallas,Miami,2025-02-05 20:02:00,2609.74,2.96,19229.87,49.82,260.97,0.0,1037.03
SHP000085,XPO Logistics,0,Rail,Dallas,Boston,2025-01-11 19:09:00,986.59,4.31,7341.47,217.49,29.6,0.0,108.06
SHP000086,Old Dominion,0,Rail,Boston,Atlanta,2025-02-28 18:13:00,837.61,5.31,25586.2,23.61,25.13,0.0,246.57
SHP000087,UPS,0,Air,Atlanta,New York,2025-11-07 19:47:00,1311.45,2.69,20373.88,428.39,131.15,0.0,735.34
SHP000088,J.B. Hunt,0,Rail,San Francisco,Tampa,2025-10-24 00:59:00,1253.91,2.14,3287.47,321.57,37.62,0.0,89.0
SHP000089,XPO Logistics,0,Ocean,Miami,Atlanta,2025-04-12 02:37:00,698.83,14.89,37639.09,288.16,139.77,0.0,209.16
SHP000090,C.H. Robinson,FTL,Road,New York,Boston,2025-01-22 11:34:00,496.4,3.95,18600.99,273.26,82.73,0.0,225.72
SHP000091,C.H. Robinson,0,Air,New York,Atlanta,2025-11-28 10:00:00,2841.95,1.85,38467.03,452.77,284.19,0.0,1479.83
SHP000092,Old Dominion,0,Ocean,New York,San Francisco,2025-07-05 20:57:00,1968.43,3.53,4480.73,10.09,393.69,0.0,81.46
SHP000093,Old Dominion,0,Rail,Miami,New York,2025-09-25 20:17:00,351.11,5.78,3311.95,160.17,10.53,0.0,44.05
SHP000094,XPO Logistics,0,Ocean,Miami,Boston,2025-10-31 08:20:00,6836.56,2.51,32671.51,141.65,1367.31,0.0,368.45
SHP000095,C.H. Robinson,FTL,Road,Boston,New York,2025-10-19 19:42:00,185.89,4.26,25343.24,438.86,30.98,0.0,268.3
SHP000096,XPO Logistics,0,Air,Tampa,San Francisco,2025-06-16 05:31:00,2284.69,3.31,11640.37,89.54,228.47,0.0,803.98
SHP000097,J.B. Hunt,0,Air,San Francisco,Chicago,2025-05-24 19:44:00,2326.66,3.32,39624.95,206.9,232.67,0.0,1374.16
SHP000098,XPO Logistics,LTL,Road,New York,Chicago,2025-09-08 17:48:00,477.82,4.71,3506.91,465.45,79.64,0.0,92.41
SHP000099,XPO Logistics,0,Ocean,Boston,Dallas,2025-01-09 02:18:00,6938.1,11.44,30159.41,377.52,1387.62,0.0,358.94
SHP000100,Old Dominion,0,Ocean,Dallas,Chicago,2025-12-06 18:23:00,1273.43,21.86,20457.47,413.4,254.69,0.0,140.49
SHP000101,Old Dominion,0,Air,Miami,Atlanta,2025-10-09 10:22:00,1164.13,3.63,15873.47,6.41,116.41,0.0,608.5
SHP000102,XPO Logistics,0,Air,San Francisco,Chicago,2025-04-29 03:46:00,2744.53,0.82,13112.89,475.08,274.45,0.0,948.39
SHP000103,XPO Logistics,0,Air,New York,Miami,2025-10-02 22:11:00,2866.64,2.51,25457.57,224.77,286.66,0.0,1225.81
SHP000104,J.B. Hunt,0,Rail,Boston,Chicago,2025-10-29 16:38:00,669.14,3.3,27064.48,376.43,20.07,0.0,249.97
SHP000105,DHL,LTL,Road,San Francisco,New York,2025-06-04 00:45:00,960.32,4.79,1048.38,247.72,160.05,0.0,125.72
SHP000106,DHL,0,Air,Tampa,New York,2025-10-11 09:44:00,455.41,2.42,17940.45,443.96,45.54,0.0,472.66
SHP000107,Old Dominion,0,Ocean,New York,Boston,2025-01-07 18:18:00,3131.86,4.58,6148.17,380.99,626.37,0.0,124.7
SHP000108,Old Dominion,0,Ocean,Boston,Chicago,2025-04-05 01:16:00,5136.64,4.22,3822.22,350.78,1027.33,0.0,173.21
SHP000109,DHL,LTL,Road,Miami,Dallas,2025-11-19 21:03:00,133.68,4.98,7106.49,41.59,0.0,200.52,87.11
SHP000110,C.H. Robinson,0,Rail,San Francisco,Tampa,2025-05-08 03:35:00,335.74,7.91,15283.7,185.95,10.07,0.0,139.06
SHP000111,C.H. Robinson,0,Rail,Miami,Dallas,2025-08-15 09:55:00,1500.48,7.63,39447.04,376.94,45.01,0.0,390.6
SHP000112,XPO Logistics,0,Air,Tampa,Atlanta,2025-02-20 06:40:00,1315.9,0.79,31197.3,279.64,131.59,0.0,952.92
SHP000113,UPS,0,Air,New York,Chicago,2025-05-03 05:35:00,1445.4,3.67,4892.3,246.82,144.54,0.0,459.2
SHP000114,Old Dominion,0,Rail,Tampa,San Francisco,2025-08-19 22:38:00,218.17,4.28,2723.98,60.29,6.55,0.0,32.7
SHP000115,Old Dominion,0,Air,Tampa,Chicago,2025-05-28 22:18:00,617.32,2.77,29968.77,292.1,61.73,0.0,753.71
SHP000116,XPO Logistics,LTL,Road,San Francisco,Boston,2025-10-29 21:51:00,1156.5,2.41,2964.26,434.43,192.75,0.0,168.42
SHP000117,J.B. Hunt,0,Ocean,New York,Atlanta,2025-04-26 20:09:00,2176.97,23.19,980.1,484.97,435.39,0.0,70.21
SHP000118,J.B. Hunt,0,Rail,New York,Tampa,2025-03-26 09:38:00,269.06,7.24,21344.19,496.49,8.07,0.0,184.21
SHP000119,C.H. Robinson,0,Ocean,New York,San Francisco,2025-12-19 09:44:00,1053.47,14.18,38787.45,262.03,210.69,0.0,225.54
SHP000120,C.H. Robinson,0,Air,Boston,Dallas,2025-02-11 19:02:00,1999.38,2.94,18454.37,314.15,199.94,0.0,868.93
SHP000121,FedEx,0,Air,San Francisco,Tampa,2025-02-16 07:43:00,1877.65,3.65,2295.13,141.2,187.77,0.0,515.32
SHP000122,Old Dominion,0,Air,Tampa,Boston,2025-03-31 15:33:00,2866.11,3.62,18498.44,310.45,286.61,0.0,1086.5
SHP000123,Old Dominion,0,Air,Chicago,Atlanta,2025-08-12 20:52:00,1048.93,1.16,18816.09,177.32,104.89,0.0,638.55
SHP000124,DHL,FTL,Road,Atlanta,Dallas,2025-12-10 03:54:00,721.2,0.7,38988.59,493.12,120.2,0.0,447.58
SHP000125,C.H. Robinson,0,Air,Miami,Atlanta,2025-09-11 09:42:00,2185.04,2.38,12726.34,407.08,218.5,0.0,800.79
SHP000126,FedEx,FTL,Road,New York,Dallas,2025-03-01 12:55:00,837.44,1.19,36481.62,411.45,139.57,0.0,431.81
SHP000127,Old Dominion,0,Ocean,Miami,Tampa,2025-04-07 16:23:00,7623.5,17.97,24729.9,209.7,1524.7,0.0,352.35
SHP000128,J.B. Hunt,0,Ocean,Tampa,Chicago,2025-05-17 17:08:00,7495.46,21.05,2286.14,14.16,1499.09,0.0,236.29
SHP000129,XPO Logistics,0,Ocean,Boston,Tampa,2025-01-15 20:38:00,3323.48,19.83,39497.41,76.06,664.7,0.0,297.19
SHP000130,UPS,0,Rail,San Francisco,Atlanta,2025-01-08 17:26:00,1150.61,3.67,38811.62,421.22,34.52,0.0,368.02
SHP000131,DHL,0,Rail,New York,San Francisco,2025-03-02 20:53:00,1541.33,4.28,16885.37,137.43,46.24,0.0,212.15
SHP000132,Old Dominion,0,Ocean,San Francisco,Atlanta,2025-12-28 08:26:00,922.82,21.02,32609.59,499.86,184.56,0.0,190.73
SHP000133,XPO Logistics,0,Ocean,Dallas,San Francisco,2025-10-10 04:24:00,7974.78,14.22,30875.0,472.44,1594.96,0.0,393.62
SHP000134,J.B. Hunt,0,Rail,New York,Dallas,2025-08-01 10:59:00,1559.44,2.73,18296.49,65.45,46.78,0.0,224.34
SHP000135,DHL,FTL,Road,San Francisco,Boston,2025-12-04 15:55:00,1147.16,3.74,9531.39,336.18,191.19,0.0,187.09
SHP000136,C.H. Robinson,0,Ocean,Boston,Chicago,2025-06-20 17:48:00,5135.96,9.88,4985.52,336.12,1027.19,0.0,179.01
SHP000137,C.H. Robinson,0,Ocean,Atlanta,Boston,2025-04-07 22:15:00,4402.31,18.99,21046.46,426.24,880.46,0.0,237.3
SHP000138,C.H. Robinson,0,Rail,Miami,Tampa,2025-06-12 23:30:00,1083.05,4.93,35127.82,202.34,32.49,0.0,335.18
SHP000139,Schneider,0,Ocean,Chicago,San Francisco,2025-01-19 04:32:00,1505.11,2.63,30327.92,310.53,301.02,0.0,196.79
SHP000140,C.H. Robinson,FTL,Road,New York,Atlanta,2025-01-08 23:09:00,859.69,1.47,5886.67,8.26,143.28,0.0,127.64
SHP000141,C.H. Robinson,0,Rail,New York,San Francisco,2025-05-16 10:39:00,760.94,5.13,15993.64,219.3,22.83,0.0,166.0
SHP000142,UPS,FTL,Road,Miami,Chicago,2025-09-07 17:02:00,1089.78,2.25,20802.58,392.04,181.63,0.0,295.21
SHP000143,UPS,0,Rail,San Francisco,New York,2025-02-16 13:06:00,834.47,5.35,34563.37,474.81,25.03,0.0,318.23
SHP000144,Schneider,0,Ocean,Chicago,Miami,2025-06-03 00:02:00,1603.05,22.38,19938.59,129.86,320.61,0.0,147.78
SHP000145,DHL,FTL,Road,Atlanta,Chicago,2025-05-06 16:26:00,578.01,5.89,19958.41,165.05,96.33,0.0,245.82
SHP000146,XPO Logistics,0,Rail,Chicago,Tampa,2025-11-09 12:39:00,1213.44,2.68,3496.6,65.31,36.4,0.0,88.64
SHP000147,Old Dominion,0,Ocean,Chicago,New York,2025-08-25 20:16:00,1460.34,5.34,5983.67,320.8,292.07,0.0,73.73
SHP000148,DHL,0,Air,Tampa,Boston,2025-08-27 09:43:00,791.08,1.71,35923.14,237.51,79.11,0.0,916.23
SHP000149,Old Dominion,FTL,Road,Atlanta,San Francisco,2025-08-06 22:16:00,817.69,1.24,8095.42,21.39,136.28,0.0,146.37
SHP000150,C.H. Robinson,0,Air,Dallas,San Francisco,2025-09-05 03:15:00,756.12,1.48,7491.91,45.26,75.61,0.0,338.87
SHP000151,C.H. Robinson,0,Air,San Francisco,Miami,2025-06-01 00:53:00,625.72,2.11,8650.18,182.77,62.57,0.0,329.43
SHP000152,Old Dominion,0,Air,Tampa,Atlanta,2025-12-18 23:03:00,1659.23,2.92,2052.83,399.91,165.92,0.0,455.86
SHP000153,XPO Logistics,0,Air,Dallas,Atlanta,2025-06-30 07:40:00,1995.33,0.79,35006.36,460.52,199.53,0.0,1198.96
SHP000154,FedEx,0,Air,Chicago,Miami,2025-02-19 20:41:00,464.91,1.47,32344.95,374.38,46.49,0.0,763.13
SHP000155,DHL,0,Air,Boston,Tampa,2025-10-24 11:46:00,798.21,1.23,15133.65,242.78,79.82,0.0,502.23
SHP000156,Schneider,FTL,Road,Atlanta,Miami,2025-04-13 04:50:00,760.99,2.37,18770.12,373.99,126.83,0.0,248.58
SHP000157,Schneider,0,Air,Chicago,Dallas,2025-09-04 09:47:00,399.04,1.38,28677.31,447.71,39.9,0.0,673.31
SHP000158,C.H. Robinson,FTL,Road,New York,Chicago,2025-04-26 21:46:00,638.43,3.31,4733.29,224.26,106.4,0.0,98.41
SHP000159,UPS,0,Air,New York,Boston,2025-07-22 00:16:00,1738.07,1.35,11135.11,189.26,173.81,0.0,657.22
SHP000160,C.H. Robinson,0,Ocean,Atlanta,Miami,2025-12-11 08:37:00,650.53,9.09,8852.2,164.42,130.11,0.0,63.78
SHP000161,Schneider,0,Air,New York,Miami,2025-04-30 15:01:00,623.36,3.62,23946.9,339.87,62.34,0.0,634.78
SHP000162,C.H. Robinson,0,Rail,New York,Miami,2025-08-26 22:19:00,1462.67,4.49,3933.35,269.02,43.88,0.0,104.6
SHP000163,XPO Logistics,LTL,Road,Tampa,New York,2025-09-10 03:06:00,724.87,4.54,4401.85,64.66,120.81,0.0,131.0
SHP000164,C.H. Robinson,0,Rail,Miami,Dallas,2025-07-09 21:47:00,654.04,3.54,26013.73,285.82,19.62,0.0,240.81
SHP000165,C.H. Robinson,0,Rail,Miami,Atlanta,2025-02-20 15:39:00,769.75,7.91,24428.11,119.38,23.09,0.0,233.91
SHP000166,Old Dominion,0,Air,Tampa,Miami,2025-07-09 06:28:00,574.81,1.04,10215.33,81.18,57.48,0.0,348.01
SHP000167,Schneider,0,Rail,Atlanta,Tampa,2025-12-18 11:34:00,498.51,3.0,7348.26,448.49,14.96,0.0,83.71
SHP000168,XPO Logistics,FTL,Road,San Francisco,New York,2025-08-21 02:42:00,142.27,3.27,16710.67,491.21,23.71,0.0,178.49
SHP000169,XPO Logistics,LTL,Road,Atlanta,New York,2025-10-17 06:04:00,178.84,2.54,9699.28,432.89,29.81,0.0,118.45
SHP000170,J.B. Hunt,0,Rail,Dallas,Chicago,2025-03-17 19:00:00,1507.32,2.81,7250.06,334.65,45.22,0.0,133.37
SHP000171,FedEx,0,Rail,Chicago,Atlanta,2025-05-09 05:07:00,1687.0,4.9,23078.7,140.71,50.61,0.0,268.98
SHP000172,FedEx,0,Rail,Tampa,Dallas,2025-05-02 18:20:00,1431.19,2.31,13285.33,213.29,42.94,0.0,177.84
SHP000173,UPS,0,Rail,San Francisco,Tampa,2025-03-06 23:26:00,1012.18,2.7,5036.05,305.7,30.37,0.0,90.9
SHP000174,XPO Logistics,FTL,Road,Boston,Miami,2025-10-31 03:28:00,381.93,3.59,6597.33,241.09,63.66,0.0,96.53
SHP000175,C.H. Robinson,FTL,Road,Boston,Atlanta,2025-02-01 15:54:00,662.48,0.55,13795.87,68.07,110.41,0.0,190.96
SHP000176,UPS,0,Ocean,New York,San Francisco,2025-12-31 14:04:00,975.31,23.78,13232.98,405.13,195.06,0.0,95.42
SHP000177,Schneider,0,Air,Chicago,Tampa,2025-03-06 08:39:00,987.53,2.89,30529.0,298.22,98.75,0.0,857.46
SHP000178,UPS,0,Ocean,San Francisco,Dallas,2025-09-16 19:27:00,4036.82,11.06,14280.3,464.84,807.36,0.0,192.51
SHP000179,Old Dominion,LTL,Road,Miami,Dallas,2025-07-31 10:52:00,1005.21,5.8,1374.33,365.7,167.53,0.0,134.37
SHP000180,Schneider,0,Ocean,Miami,Atlanta,2025-02-18 10:27:00,7537.55,5.99,3126.6,370.82,1507.51,0.0,241.76
SHP000181,UPS,0,Air,Atlanta,New York,2025-12-18 15:04:00,1851.08,3.45,6021.01,397.84,185.11,0.0,583.19
SHP000182,FedEx,LTL,Road,Miami,Tampa,2025-07-10 04:35:00,281.87,1.19,1768.02,407.47,46.98,0.0,51.5
SHP000183,C.H. Robinson,0,Air,New York,San Francisco,2025-07-01 21:48:00,2096.03,2.33,14673.8,438.72,209.6,0.0,817.48
SHP000184,Old Dominion,FTL,Road,San Francisco,Chicago,2025-09-17 06:09:00,501.31,4.95,17845.83,189.1,0.0,751.97,218.56
SHP000185,J.B. Hunt,0,Rail,New York,Dallas,2025-10-12 11:07:00,940.29,3.11,30030.57,251.86,28.21,0.0,287.26
SHP000186,FedEx,0,Rail,Miami,Boston,2025-10-15 19:39:00,571.54,7.3,15663.7,272.23,17.15,0.0,153.89
SHP000187,J.B. Hunt,0,Air,Tampa,Chicago,2025-05-20 22:48:00,2747.47,2.68,5117.47,469.98,274.75,0.0,789.22
SHP000188,C.H. Robinson,0,Air,Atlanta,Tampa,2025-04-03 04:36:00,1994.81,1.67,6001.25,397.22,199.48,0.0,618.73
SHP000189,Old Dominion,LTL,Road,Tampa,New York,2025-04-21 12:26:00,763.08,3.32,8954.84,394.51,127.18,0.0,181.12
SHP000190,UPS,0,Air,Chicago,Dallas,2025-06-09 23:20:00,709.52,1.59,10315.32,372.23,70.95,0.0,383.69
SHP000191,Old Dominion,LTL,Road,Chicago,Boston,2025-12-12 02:17:00,88.56,3.53,7660.22,438.51,14.76,0.0,87.23
SHP000192,XPO Logistics,0,Ocean,Boston,San Francisco,2025-08-15 13:17:00,3065.61,20.07,4869.95,423.38,613.12,0.0,116.32
SHP000193,J.B. Hunt,FTL,Road,Miami,Tampa,2025-12-14 18:31:00,196.61,2.53,31993.17,75.81,32.77,0.0,335.66
